q_no,question,A,B,C,D,correct_option,explanation
1,"In SQL, the command 'CREATE' belongs to which category?",DCL,DML,TCL,DDL,D,"CREATE defines schema objects, so it is DDL."
2,"In SQL, the command 'ALTER' belongs to which category?",TCL,DCL,DDL,DML,C,"ALTER changes table structure, hence DDL."
3,"In SQL, the command 'DROP' belongs to which category?",DML,TCL,DCL,DDL,D,"DROP removes schema objects, a DDL operation."
4,"In SQL, the command 'TRUNCATE' belongs to which category?",DML,DCL,DDL,TCL,C,TRUNCATE removes all rows via a DDL-style operation in most DBMS.
5,"In SQL, the command 'INSERT' belongs to which category?",DDL,DCL,TCL,DML,D,"INSERT changes table data, hence DML."
6,"In SQL, the command 'UPDATE' belongs to which category?",DDL,TCL,DCL,DML,D,"UPDATE modifies rows, so it is DML."
7,"In SQL, the command 'DELETE' belongs to which category?",DCL,DDL,DML,TCL,C,"DELETE removes rows, so it is DML."
8,"In SQL, the command 'GRANT' belongs to which category?",DDL,TCL,DCL,DML,C,"GRANT controls permissions, so it is DCL."
9,"In SQL, the command 'REVOKE' belongs to which category?",DCL,DML,DDL,TCL,A,"REVOKE removes permissions, hence DCL."
10,"In SQL, the command 'COMMIT' belongs to which category?",DML,DCL,TCL,DDL,C,"COMMIT ends a transaction and makes changes permanent, so it is TCL."
11,"In ACID properties, what best describes **Atomicity**?",Isolation from other concurrent transactions,Permanence of committed data,Moving from one valid state to another,All-or-nothing execution of a transaction,D,Atomicity means either all operations happen or none (rollback).
12,"In ACID properties, what best describes **Consistency**?",Committed changes survive failures,Independent execution of transactions,All-or-nothing execution,A transaction preserves database constraints,D,Consistency means constraints/invariants remain satisfied.
13,"In ACID properties, what best describes **Isolation**?",Committed changes survive failures,All-or-nothing execution,Concurrent transactions appear to run one-by-one,Preserve constraints,C,Isolation hides intermediate results from other transactions.
14,"In ACID properties, what best describes **Durability**?",Transactions preserve constraints,Concurrent transactions appear serial,All-or-nothing execution,Committed changes persist even after a crash,D,Durability ensures commit is permanent using logs/storage.
15,Which statement best characterizes 1NF?,Eliminates repeating groups and ensures atomic attributes,Eliminates partial dependency,Eliminates multivalued dependency,Eliminates transitive dependency,A,1NF requires each attribute value to be atomic (no repeating groups).
16,Which statement best characterizes 2NF?,Eliminates join dependency,Eliminates partial dependency,Eliminates transitive dependency,Eliminates repeating groups,B,2NF removes partial dependency on a composite key.
17,Which statement best characterizes 3NF?,Eliminates partial dependency,Eliminates multivalued dependency,Eliminates repeating groups,Eliminates transitive dependency,D,3NF removes non-key → non-key (transitive) dependencies.
18,Which statement best characterizes BCNF?,No multivalued dependency,Every non-key depends on key,Every determinant is a super key,No join dependency,C,"BCNF strengthens 3NF: for every FD X→Y, X must be a superkey."
19,Which statement best characterizes 4NF?,Eliminates repeating groups,Eliminates partial dependency,Eliminates transitive dependency,Eliminates multivalued dependency,D,4NF deals with multivalued dependencies (MVDs).
20,Which statement best characterizes 5NF?,Eliminates join dependency (project-join NF),Eliminates partial dependency,Eliminates multivalued dependency,Eliminates transitive dependency,A,5NF addresses join dependencies not implied by candidate keys.
21,What does a INNER JOIN do?,Returns only matching rows from both tables,Returns all rows from right plus matches,Returns all rows from both tables,Returns all rows from left plus matches,A,INNER JOIN keeps only rows satisfying the join condition in both tables.
22,What does a LEFT OUTER JOIN do?,Returns all rows from left table and matching rows from right table,All rows from both,All rows from right and matching left,Only matching rows,A,LEFT JOIN preserves all left rows; missing right side becomes NULL.
23,What does a RIGHT OUTER JOIN do?,Only matching rows,All rows from both,All rows from left and matching right,Returns all rows from right table and matching rows from left table,D,RIGHT JOIN preserves all right rows; missing left side becomes NULL.
24,What does a FULL OUTER JOIN do?,All rows from left only,All rows from right only,"Returns all rows from both tables, matching where possible",Only matching rows,C,FULL OUTER JOIN is union of left and right joins.
25,What does a CROSS JOIN do?,Returns grouped rows,Returns the Cartesian product of two tables,Returns only matching rows,Returns rows with duplicates removed,B,CROSS JOIN pairs each row of one table with every row of the other.
26,What does a SELF JOIN do?,Join between unrelated databases,Join that requires three tables,A table is joined with itself using aliases,Join that returns only NULLs,C,"SELF JOIN uses aliases to relate rows within the same table (e.g., employee-manager)."
27,Which option best defines a **Super key**?,Attribute referring to another table,Chosen candidate key for identification,Minimal unique attribute set,Any attribute set that uniquely identifies a tuple,D,A super key may contain extra attributes but still uniquely identifies rows.
28,Which option best defines a **Candidate key**?,Any unique attribute set,A foreign key,A minimal super key,A non-unique attribute,C,Candidate keys are minimal unique identifiers (no proper subset is unique).
29,Which option best defines a **Primary key**?,A key used only for sorting,Any super key,A chosen candidate key that is UNIQUE and NOT NULL,A key that may contain NULL,C,Primary key is selected from candidate keys and cannot be NULL.
30,Which option best defines a **Alternate key**?,Candidate keys not chosen as the primary key,Keys that reference other tables,Keys formed by combining two tables,Keys that allow duplicates,A,Alternate keys are the remaining candidate keys.
31,Which option best defines a **Foreign key**?,Chosen candidate key,Attribute(s) in one table referencing a key in another table,A multivalued attribute,Minimal super key,B,Foreign keys enforce referential integrity between tables.
32,Which option best defines a **Composite key**?,A key made of two or more attributes,A key derived from another key,A key used for encryption,A key that allows NULL,A,Composite keys combine multiple attributes to uniquely identify a tuple.
33,"In an ER diagram, the symbol 'Rectangle' represents:",Entity set,Attribute,Relationship set,Weak entity,A,"In ER diagrams, rectangles represent entity sets."
34,"In an ER diagram, the symbol 'Ellipse' represents:",Entity set,Identifying relationship,Attribute,Relationship set,C,Ellipses represent attributes.
35,"In an ER diagram, the symbol 'Diamond' represents:",Entity set,Attribute,Relationship set,Weak entity,C,Diamonds represent relationships between entity sets.
36,"In an ER diagram, the symbol 'Double rectangle' represents:",Multivalued attribute,Derived attribute,Relationship set,Weak entity set,D,Weak entities are drawn with double rectangles.
37,"In an ER diagram, the symbol 'Double ellipse' represents:",Derived attribute,Multivalued attribute,Composite attribute,Weak entity,B,Multivalued attributes are shown using double ellipses.
38,"In an ER diagram, the symbol 'Dashed ellipse' represents:",Derived attribute,Weak entity,Multivalued attribute,Relationship set,A,Derived attributes are shown with dashed ellipses.
39,"In relational algebra, what does Selection (σ) do?",Filters columns,Filters rows based on a predicate,Renames a relation,Combines every row of two relations,B,Selection chooses tuples satisfying a condition.
40,"In relational algebra, what does Projection (π) do?",Sorts tuples,Selects rows only,Adds new tuples,Selects columns and removes duplicate tuples,D,Projection returns specified attributes; in relational algebra duplicates are removed.
41,"In relational algebra, what does Cartesian product (×) do?",Subtracts tuples,Returns only matching tuples,Pairs each tuple of one relation with every tuple of another,Returns common tuples only,C,Cartesian product forms all combinations of tuples.
