q_no,question,option_A,option_B,option_C,option_D,correct_option,explanation
1,Convert (5)₁₀ to binary.,1010110,110,101,100,A,(5)₁₀ in binary is (101)₂.
2,Convert (86)₁₀ to binary.,1010111,10001011,1010110,1010101,D,(86)₁₀ in binary is (1010110)₂.
3,Convert (78)₁₀ to binary.,110100,1001101,1001111,1001110,A,(78)₁₀ in binary is (1001110)₂.
4,Convert (80)₁₀ to binary.,1010000,1111000,1010001,1001111,B,(80)₁₀ in binary is (1010000)₂.
5,Convert (8)₁₀ to binary.,111111,1001,111,1000,D,(8)₁₀ in binary is (1000)₂.
6,Convert (13)₁₀ to binary.,1101,1100,1110,1000110,C,(13)₁₀ in binary is (1101)₂.
7,Convert (77)₁₀ to binary.,1001101,1001110,1110010,1001100,B,(77)₁₀ in binary is (1001101)₂.
8,Convert (49)₁₀ to binary.,110010,110001,110000,111010,D,(49)₁₀ in binary is (110001)₂.
9,Convert (24)₁₀ to binary.,11000,11001,10111,111001,A,(24)₁₀ in binary is (11000)₂.
10,Convert (10)₁₀ to binary.,1011,1001,1110100,1010,D,(10)₁₀ in binary is (1010)₂.
11,Convert (13)₁₀ to binary.,1110,1101,1100,10000001,A,(13)₁₀ in binary is (1101)₂.
12,Convert (43)₁₀ to binary.,101100,1110101,101011,101010,C,(43)₁₀ in binary is (101011)₂.
13,Convert (11)₁₀ to binary.,1011,1100,10010101,1010,C,(11)₁₀ in binary is (1011)₂.
14,Convert (48)₁₀ to binary.,110001,10001111,101111,110000,B,(48)₁₀ in binary is (110000)₂.
15,Convert (71)₁₀ to binary.,10000110,1000111,1000110,1001000,D,(71)₁₀ in binary is (1000111)₂.
16,Convert (1100100)₂ to decimal.,100,99,200,101,A,(1100100)₂ = 100₁₀
17,Convert (110)₂ to decimal.,7,6,5,12,B,(110)₂ = 6₁₀
18,Convert (101110)₂ to decimal.,45,46,47,92,B,(101110)₂ = 46₁₀
19,Convert (1010110)₂ to decimal.,86,87,172,85,A,(1010110)₂ = 86₁₀
20,Convert (1110)₂ to decimal.,28,14,13,15,B,(1110)₂ = 14₁₀
21,Convert (10011)₂ to decimal.,20,18,38,19,D,(10011)₂ = 19₁₀
22,Convert (10001)₂ to decimal.,16,34,18,17,D,(10001)₂ = 17₁₀
23,Convert (1011100)₂ to decimal.,92,93,91,184,A,(1011100)₂ = 92₁₀
24,Convert (101100)₂ to decimal.,43,45,44,88,C,(101100)₂ = 44₁₀
25,Convert (1100)₂ to decimal.,12,13,11,24,A,(1100)₂ = 12₁₀
26,Convert (11001)₂ to decimal.,25,26,24,50,A,(11001)₂ = 25₁₀
27,Convert (101010)₂ to decimal.,84,42,43,41,B,(101010)₂ = 42₁₀
28,Convert (11000)₂ to decimal.,25,23,24,48,C,(11000)₂ = 24₁₀
29,Convert (1010110)₂ to decimal.,172,86,87,85,B,(1010110)₂ = 86₁₀
30,Convert (101101)₂ to decimal.,90,44,45,46,C,(101101)₂ = 45₁₀
