q_no,question,option_A,option_B,option_C,option_D,correct_option
1,Stack Pointer (SP) points to,Interrupt vector,Top of stack,Next instruction,Next cache line,B
2,Branch prediction reduces,Control hazard stalls,ALU latency,Register count,Cache size,A
3,Vectored interrupt means,Only polling,Interrupt gives address of ISR,Interrupts are ignored,DMA handles ISR,B
4,Microprogrammed control refers to,Only for RISC,No control memory,Always fastest,More flexible but slower,D
5,Auto-increment addressing is useful for,Microprogram,Cache mapping,Stack/arrays traversal,Branch prediction,C
6,Interrupt driven I/O ?,Improves CPU utilization,Needs no ISR,Blocks CPU completely,Avoids interrupts,A
7,RISC instructions are generally ?,Fixed length,Variable length,Only microcoded,Only 1 byte,A
8,TLB stores,Microinstructions,Recent page table entries,Interrupt vectors,Cache blocks,B
9,TLB stores,Microinstructions,Cache blocks,Recent page table entries,Interrupt vectors,C
10,RISC instructions are generally,Only microcoded,Variable length,Fixed length,Only 1 byte,C
11,Paging reduces ?,Cache misses,Interrupt latency,External fragmentation,Internal fragmentation,C
12,Indexed addressing refers to best for,Arrays,I/O ports,Interrupts,Constants,A
13,Forwarding helps reduce,Data hazards,Control hazards,Interrupts,Structural hazards,A
14,Indexed addressing is best for,Constants,I/O ports,Interrupts,Arrays,D
15,PC register stores,Operand,Current instruction,Address of next instruction,ALU result,C
16,"In 5-stage pipeline, MEM stage refers to used for",Register write back,ALU execution,Data memory access,Instruction decode,C
17,32-bit address bus can address ?,4 GB (byte-addressable),8 GB,16 GB,2 GB,A
18,Segmentation suffers from ?,No overhead,External fragmentation,No fragmentation,Only internal fragmentation,B
19,Auto-increment addressing refers to useful for,Microprogram,Cache mapping,Stack/arrays traversal,Branch prediction,C
20,Immediate addressing mode means ?,Address is in memory,Operand is in instruction,Operand is in cache,Address is in register,B
21,Flynn taxonomy: SIMD means,Single instruction single data,Multiple instruction single data,Single instruction multiple data,Multiple instruction multiple data,C
22,CPU instruction cycle starts with,Interrupt,Write back,Fetch,Execute,C
23,"In 5-stage pipeline, MEM stage is used for",Instruction decode,Data memory access,Register write back,ALU execution,B
24,Fully associative cache requires ?,Only modulo,Searching all cache tags,No tag,No comparator,B
25,Accumulator (ACC) is used to,Store I/O status,Hold intermediate ALU results,Store next instruction address,Store page table entries,B
26,32-bit address bus can address ?,4 GB (byte-addressable),16 GB,2 GB,8 GB,A
27,"In 5-stage pipeline, MEM stage refers to used for",ALU execution,Data memory access,Register write back,Instruction decode,B
28,RISC instructions are generally ?,Only 1 byte,Variable length,Only microcoded,Fixed length,D
29,Data bus is generally,Unidirectional,Bidirectional,Only CPU->Memory,Only Memory->CPU,B
30,ISR stands for,Instruction Set Register,Interrupt Service Routine,Interrupt Status Register,Internal Storage Register,B
31,32-bit address bus can address,4 GB (byte-addressable),16 GB,2 GB,8 GB,A
32,Microprogrammed control refers to,No control memory,Always fastest,More flexible but slower,Only for RISC,C
33,Main memory is commonly built using,Registers,EEPROM,DRAM,SRAM,C
34,DMA transfers data between,Cache and registers only,CPU and ALU,ALU and CU,Device and memory,D
35,PC register stores,Current instruction,Address of next instruction,Operand,ALU result,B
36,Von Neumann architecture uses,Single memory for data and instructions,Separate memory for data and instructions,Only instruction memory,Only data memory,A
37,Miss penalty is,Cache access time,Extra time for a cache miss,TLB access time,Pipeline depth,B
38,PC register stores,Current instruction,Address of next instruction,ALU result,Operand,B
39,Vectored interrupt means ?,DMA handles ISR,Interrupt gives address of ISR,Interrupts are ignored,Only polling,B
40,Immediate addressing mode means,Address is in memory,Address is in register,Operand is in instruction,Operand is in cache,C
41,Von Neumann architecture uses ?,Only data memory,Single memory for data and instructions,Only instruction memory,Separate memory for data and instructions,B
42,CISC control unit is often,Only combinational,No control unit,Microprogrammed,Hardwired,C
43,DMA transfers data between ?,CPU and ALU,Device and memory,Cache and registers only,ALU and CU,B
44,Address bus is generally,Half duplex,Not used,Bidirectional,Unidirectional,D
45,Status/Flag register contains,Cache tags,Memory addresses,"Condition codes (Z, C, S, V)",Only opcode,C
46,PC register stores,ALU result,Operand,Current instruction,Address of next instruction,D
47,32-bit address bus can address,8 GB,16 GB,2 GB,4 GB (byte-addressable),D
48,Address bus refers to generally,Half duplex,Not used,Unidirectional,Bidirectional,C
49,Forwarding helps reduce,Data hazards,Interrupts,Control hazards,Structural hazards,A
50,Vectored interrupt means ?,Only polling,Interrupt gives address of ISR,Interrupts are ignored,DMA handles ISR,B
51,RAW hazard stands for ?,Read After Wait,Run After Write,Read After Write,Read And Write,C
52,Control hazard commonly arises from,Move instruction,Branch instructions,NOP,Add instruction,B
53,Auto-increment addressing refers to useful for,Branch prediction,Cache mapping,Microprogram,Stack/arrays traversal,D
54,Flynn taxonomy: SIMD means ?,Multiple instruction multiple data,Single instruction single data,Single instruction multiple data,Multiple instruction single data,C
55,Stack Pointer (SP) points to,Top of stack,Interrupt vector,Next instruction,Next cache line,A
56,IR register stores,Next instruction,Stack top,Current instruction,Memory address,C
57,Branch prediction reduces ?,ALU latency,Cache size,Control hazard stalls,Register count,C
58,PC register stores,Operand,ALU result,Address of next instruction,Current instruction,C
59,32-bit address bus can address,2 GB,8 GB,4 GB (byte-addressable),16 GB,C
60,Programmed I/O is also called,Polling,Interrupt I/O,DMA,Spooling,A
61,RISC instructions are generally,Only microcoded,Fixed length,Variable length,Only 1 byte,B
62,Relative addressing uses,Direct address,PC + offset,Base + index,Stack pointer,B
63,Programmed I/O is also called,DMA,Interrupt I/O,Spooling,Polling,D
64,Von Neumann architecture uses,Single memory for data and instructions,Only instruction memory,Separate memory for data and instructions,Only data memory,A
65,"In 5-stage pipeline, MEM stage is used for",ALU execution,Instruction decode,Data memory access,Register write back,C
66,RAW hazard stands for ?,Run After Write,Read After Write,Read And Write,Read After Wait,B
67,Segmentation suffers from ?,No fragmentation,Only internal fragmentation,External fragmentation,No overhead,C
68,ISR stands for,Interrupt Status Register,Interrupt Service Routine,Instruction Set Register,Internal Storage Register,B
69,MAR holds,Memory address for access,Flags,Opcode,Data to write,A
70,Programmed I/O is also called,Interrupt I/O,Spooling,DMA,Polling,D
71,Von Neumann architecture uses ?,Only data memory,Single memory for data and instructions,Only instruction memory,Separate memory for data and instructions,B
72,Accumulator (ACC) is used to,Store I/O status,Hold intermediate ALU results,Store page table entries,Store next instruction address,B
73,Auto-increment addressing refers to useful for,Branch prediction,Stack/arrays traversal,Microprogram,Cache mapping,B
74,Cache hit ratio refers to,Hits * Misses,Hits / (Hits + Misses),Misses / Hits,1 / Hits,B
75,32-bit address bus can address ?,4 GB (byte-addressable),8 GB,2 GB,16 GB,A
76,IR register stores ?,Stack top,Next instruction,Memory address,Current instruction,D
77,Indexed addressing is best for,I/O ports,Interrupts,Constants,Arrays,D
78,Immediate addressing mode means ?,Operand is in instruction,Operand is in cache,Address is in memory,Address is in register,A
79,Hardwired control is,No control signals,Faster but less flexible,Only for CISC,Slower but flexible,B
80,Stack Pointer (SP) points to ?,Next cache line,Top of stack,Next instruction,Interrupt vector,B
81,Status/Flag register contains ?,"Condition codes (Z, C, S, V)",Only opcode,Cache tags,Memory addresses,A
