q_no,question,option_A,option_B,option_C,option_D,correct_option,explanation
1,Balance factor in AVL tree is,Height(left) - Height(right),Nodes(left)-Nodes(right),Key difference,Degree difference,A,Balance factor uses heights.
2,Quick sort worst time is,O(log n),O(n),O(n log n),O(n^2),D,Worst pivot leads to skewed partitions.
3,Linear probing is,Chaining,Sorting,Searching,Open addressing,D,Probe next slots sequentially.
4,Quick sort average time is?,O(log n),O(n^2),O(n),O(n log n),D,Average balanced partitions.
5,Linear probing is,Chaining,Searching,Sorting,Open addressing,D,Probe next slots sequentially.
6,Heap sort time complexity is,O(n^2),O(n log n),O(n),O(log n),B,Heap operations are log n.
7,Which sorting algorithm is stable and guaranteed O(n log n)?,Selection sort,Quick sort,Heap sort,Merge sort,D,Merge sort is stable with O(n log n) worst-case.
8,"In a 2-way set associative cache (analogy), each set can hold?",1 block,4 blocks,2 blocks,V blocks,C,k-way means k lines per set.
9,Backtracking is used in,Counting sort,Binary search,N-Queens problem,Prim's algorithm,C,Backtracking explores and backtracks decisions.
10,Preorder traversal is,Left-Root-Right,Root-Left-Right,Left-Right-Root,Right-Root-Left,B,Definition of preorder.
11,Topological sorting is possible only in,Tree only,DAG,Undirected graph,Complete graph,B,Topological order exists for DAG.
12,Circular linked list last node points to,NULL,Middle node,Random node,First node,D,Circular list loops back to start.
13,Big-Theta (Θ) represents,Tight bound,Upper bound only,No bound,Lower bound only,A,Θ gives an asymptotically tight bound.
14,Big-Omega (Ω) represents?,No bound,Upper bound,Tight bound,Lower bound,D,Ω represents lower bound.
15,BFS time using adjacency list is?,O(V+E),O(E^2),O(V^2),O(log V),A,Visits vertices and edges once.
16,Dijkstra algorithm requires,Negative edges allowed,Non-negative edge weights,Only DAG,Only unweighted graphs,B,Standard Dijkstra fails with negative weights.
17,Deleting an element from the middle of an array of size n takes,O(n),O(n log n),O(1),O(log n),A,Shifting elements is required.
18,Deque supports,Insertion/deletion at both ends,Only at front,Only at rear,Only sorting,A,Deque is double-ended.
19,Big-Omega (Ω) represents,Lower bound,Tight bound,Upper bound,No bound,A,Ω represents lower bound.
20,Maximum children per node in binary tree is?,Any,3,1,2,D,Binary tree has at most two children.
21,Merge sort time complexity is,O(n^2),O(n log n),O(log n),O(n),B,Divide and conquer.
22,Doubly linked list node contains,Only Prev pointer,No pointers,Only Next pointer,Prev and Next pointers,D,DLL stores links both ways.
23,BFS time using adjacency list is,O(log V),O(V+E),O(E^2),O(V^2),B,Visits vertices and edges once.
24,Stack is based on,LIFO,FIFO,Priority,Random,A,"Last in, first out."
25,Adjacency list space is?,O(E^2),O(V+E),O(log V),O(V^2),B,List stores edges.
26,Inorder traversal is,Root-Right-Left,Left-Root-Right,Root-Left-Right,Left-Right-Root,B,Definition of inorder.
27,Greedy algorithms make,Globally optimal by brute force,Only recursive choices,Random choices,Locally optimal choices,D,Greedy chooses best immediate option.
28,Chaining resolves collision using,Stacks,Queues,Trees only,Linked lists,D,Each slot stores a list of keys.
29,Doubly linked list node contains,Prev and Next pointers,No pointers,Only Prev pointer,Only Next pointer,A,DLL stores links both ways.
30,Heap sort time complexity is?,O(n),O(n^2),O(n log n),O(log n),C,Heap operations are log n.
31,BST search complexity (average case) is,O(n),O(1),O(log n),O(n log n),C,Balanced BST has logarithmic height.
32,Worst-case height of BST with n nodes is?,n-1,sqrt(n),log n,n/2,A,Skewed BST becomes a chain.
33,A table of size 2^16 has how many slots?,2^{bits-1},2^{bits+1},65536,bits,C,2^k counts number of slots.
34,Time complexity of binary search is?,O(log n),O(n log n),O(1),O(n),A,Binary search halves the search space each step.
35,"In a 4-way set associative cache (analogy), each set can hold",4 blocks,8 blocks,1 block,V blocks,A,k-way means k lines per set.
36,Big-Omega (Ω) represents,Lower bound,No bound,Tight bound,Upper bound,A,Ω represents lower bound.
37,"In a 2-way set associative cache (analogy), each set can hold",4 blocks,2 blocks,1 block,V blocks,B,k-way means k lines per set.
38,"In a 8-way set associative cache (analogy), each set can hold",8 blocks,V blocks,1 block,16 blocks,A,k-way means k lines per set.
39,Quick sort worst time is,O(n log n),O(log n),O(n^2),O(n),C,Worst pivot leads to skewed partitions.
40,Dynamic array (like vector) grows by,Only hashing,Reallocation and copying,No copying needed,Only linked pointers,B,Dynamic arrays resize by reallocating and copying.
41,Postorder traversal is,Left-Right-Root,Root-Left-Right,Root-Right-Left,Left-Root-Right,A,Definition of postorder.
42,"In an array-based stack, overflow occurs when",Queue is full,Top becomes -1,Top reaches max size,Heap is full,C,Overflow means no more space.
43,BFS uses,Queue,Heap,Stack,Hash,A,BFS explores level by level.
44,Adjacency matrix space is?,O(V+E),O(E),O(V^2),O(V),C,Matrix stores all pairs.
45,"In a 2-way set associative cache (analogy), each set can hold?",V blocks,4 blocks,2 blocks,1 block,C,k-way means k lines per set.
46,Heap sort time complexity is,O(n^2),O(n log n),O(log n),O(n),B,Heap operations are log n.
47,Chaining resolves collision using,Trees only,Stacks,Queues,Linked lists,D,Each slot stores a list of keys.
48,"In a BST, inorder traversal gives?",Random order,Reverse postorder,Level order,Sorted order,D,Inorder visits keys in increasing order.
49,KMP algorithm is used for,Hash table resizing,Graph traversal,Sorting strings,Pattern matching in strings,D,KMP avoids rechecking characters.
50,Preorder traversal is?,Root-Left-Right,Left-Right-Root,Right-Root-Left,Left-Root-Right,A,Definition of preorder.
51,Adjacency list space is?,O(log V),O(E^2),O(V^2),O(V+E),D,List stores edges.
52,DFS uses,Deque only,Heap,Stack/Recursion,Queue,C,DFS uses stack implicitly via recursion.
53,Big-Theta (Θ) represents,Lower bound only,Tight bound,Upper bound only,No bound,B,Θ gives an asymptotically tight bound.
54,Postorder traversal is,Left-Root-Right,Left-Right-Root,Root-Left-Right,Root-Right-Left,B,Definition of postorder.
55,Quick sort worst time is,O(log n),O(n log n),O(n),O(n^2),D,Worst pivot leads to skewed partitions.
56,Load factor (α) of hash table is,m/n,n-m,n+m,n/m,D,"n elements, m slots."
57,Quick sort average time is?,O(log n),O(n),O(n log n),O(n^2),C,Average balanced partitions.
58,Balance factor in AVL tree is,Nodes(left)-Nodes(right),Key difference,Height(left) - Height(right),Degree difference,C,Balance factor uses heights.
59,"In an array-based stack, overflow occurs when",Top becomes -1,Heap is full,Queue is full,Top reaches max size,D,Overflow means no more space.
60,Greedy algorithms make,Only recursive choices,Locally optimal choices,Random choices,Globally optimal by brute force,B,Greedy chooses best immediate option.
61,Time complexity of binary search is?,O(n),O(1),O(n log n),O(log n),D,Binary search halves the search space each step.
