q_no,question,option_A,option_B,option_C,option_D,correct_option
1,Time for sector to rotate under head is?,Seek Time,Transfer Time,Rotational Latency,Response Time,C
2,Logical address is generated by,Disk,MMU,CPU,Memory,C
3,Fragmentation inside a partition is called?,Compaction,External Fragmentation,Swapping,Internal Fragmentation,D
4,Short-term scheduler is also called,Job Scheduler,Dispatcher,Swapper,CPU Scheduler,D
5,A thread shares with other threads of same process:,Stack and Registers,Stack only,Program Counter,"Code section, data section, OS resources",D
6,The first process in Linux is,sched,init / systemd,swapper,root,B
7,Root directory is found at?,Start of file,In RAM,Fixed location on disk,Random location,C
8,Semaphore 'wait' operation,Sets to 0,Increments value,Sets to 1,Decrements value,D
9,PCB stands for,Process Control Block,Process Communication Block,Program Control Block,Program Counter Block,A
10,File control block (FCB) contains?,File attributes,Process state,Page table,CPU registers,A
11,Time to move disk arm to cylinder is,Transfer Time,Seek Time,Rotational Latency,Access Time,B
12,File control block (FCB) contains,CPU registers,Page table,Process state,File attributes,D
13,Deadlock prevention ensures?,Detection,All conditions hold,At least one condition doesn't hold,Safe state,C
14,Resource Allocation Graph with a cycle implies deadlock if?,Multiple instances,Always,No resources,Single instance per resource type,D
15,Which is a shell?,Kernel,Bash,GCC,Gnome,B
16,Which program runs at all times on the computer?,Kernel,Loader,Compiler,Editor,A
17,Resource Allocation Graph with a cycle implies deadlock if,Multiple instances,Single instance per resource type,Always,No resources,B
18,Working Set Model is used to prevent,Deadlock,Thrashing,Fragmentation,Starvation,B
19,User-level threads are managed by?,Hardware,CPU,Thread library,Kernel,C
20,File control block (FCB) contains,CPU registers,File attributes,Page table,Process state,B
21,Short-term scheduler is also called,Dispatcher,Swapper,CPU Scheduler,Job Scheduler,C
22,"In a system with 2 processes and 1 resource, deadlock occurs if?",Wait,Never (1 resource),Cycle exists,Hold and wait,B
23,The first process in Linux is,root,swapper,init / systemd,sched,C
24,Critical Section is code where,Private resources are accessed,No resources accessed,Shared resources are accessed,I/O occurs,C
25,Working Set Model is used to prevent?,Fragmentation,Thrashing,Deadlock,Starvation,B
26,Which program runs at all times on the computer?,Kernel,Editor,Loader,Compiler,A
27,Logical address is generated by,MMU,CPU,Memory,Disk,B
28,Turnaround time equals,Completion Time - Arrival Time,Waiting + Burst,Burst - Waiting,Exit - Entry,A
29,"In Unix, 'fork()' system call creates",File,Child process,Thread,Pipe,B
30,The first process in Linux is,sched,init / systemd,root,swapper,B
31,Resource Allocation Graph with a cycle implies deadlock if?,No resources,Single instance per resource type,Always,Multiple instances,B
32,"In a system with 4 processes and 1 resource, deadlock occurs if",Cycle exists,Hold and wait,Wait,Never (1 resource),D
33,Semaphore 'signal' operation,Decrements value,Sets to 0,Checks value,Increments value,D
34,"In a system with 2 processes and 1 resource, deadlock occurs if",Wait,Never (1 resource),Cycle exists,Hold and wait,B
35,"In a system with 2 processes and 1 resource, deadlock occurs if?",Cycle exists,Wait,Never (1 resource),Hold and wait,C
36,Command to list files,ls,list,dir,show,A
37,Time for sector to rotate under head is?,Response Time,Seek Time,Rotational Latency,Transfer Time,C
38,Demand paging brings page into memory,Randomly,Never,At start,Only when needed,D
39,Time to move disk arm to cylinder is,Rotational Latency,Seek Time,Transfer Time,Access Time,B
40,"In a system with 4 processes and 1 resource, deadlock occurs if",Wait,Cycle exists,Hold and wait,Never (1 resource),D
41,Fragmentation inside a partition is called,External Fragmentation,Compaction,Internal Fragmentation,Swapping,C
42,Dining Philosophers problem illustrates?,Paging,Memory issues,Scheduling,Synchronization issues,D
43,Effective Access Time (EAT) depends on,Monitor size,Printer speed,Disk size,Page fault rate,D
44,Resource Allocation Graph with a cycle implies deadlock if,No resources,Multiple instances,Always,Single instance per resource type,D
45,Which is NOT a necessary condition for deadlock?,Circular Wait,Preemption,Mutual Exclusion,Hold and Wait,B
46,"In a system with 2 processes and 1 resource, deadlock occurs if",Never (1 resource),Wait,Cycle exists,Hold and wait,A
47,Bootstrap program is stored in?,Cache,RAM,Hard Disk,ROM,D
48,Which is NOT a necessary condition for deadlock?,Hold and Wait,Mutual Exclusion,Circular Wait,Preemption,D
49,Time to move disk arm to cylinder is,Rotational Latency,Seek Time,Access Time,Transfer Time,B
50,Context switching is handled by?,Compiler,Dispatcher,Shell,Scheduler,B
51,Which is a shell?,Gnome,Bash,Kernel,GCC,B
52,A thread shares with other threads of same process:?,Stack only,Program Counter,Stack and Registers,"Code section, data section, OS resources",D
53,Turnaround time equals?,Exit - Entry,Completion Time - Arrival Time,Waiting + Burst,Burst - Waiting,B
54,System calls provide interface between,User and monitor,Process and OS,CPU and Memory,User and hardware,B
55,User-level threads are managed by?,CPU,Hardware,Kernel,Thread library,D
56,Dining Philosophers problem illustrates,Scheduling,Paging,Memory issues,Synchronization issues,D
57,Which is NOT an operating system?,Oracle,Windows,Android,Linux,A
58,The first process in Linux is?,swapper,sched,root,init / systemd,D
