q_no,question,option_A,option_B,option_C,option_D,correct_option
1,HTTPS uses which port?,22,443,80,21,B
2,Class C default subnet mask is,255.0.0.0,255.255.255.0,255.255.255.255,255.255.0.0,B
3,Slow Start is a mechanism of?,Ethernet,TCP Congestion Control,IP Routing,UDP,B
4,UDP is,Slow,Connection-oriented,Reliable,Connectionless,D
5,Proxy server is used for?,Email,Hiding client IP / Caching,DNS resolution,Routing,B
6,Switch is a,Passive device,Broadcast device (like Hub),Unicast device,Network layer device,C
7,TCP is?,Connectionless,Unreliable,Connection-oriented,Stateless,C
8,Hamming code is used for,Routing,Error Correction,Framing,Error Detection only,B
9,HTTPS uses which port?,443,22,21,80,A
10,IPv6 address length is,64 bits,256 bits,128 bits,32 bits,C
11,Repeater operates at which layer?,Transport,Physical Layer,Network,Data Link,B
12,Loopback address in IPv4 is,255.0.0.0/8,10.0.0.0/8,127.0.0.0/8,192.168.0.0/16,C
13,OSPF uses which algorithm?,Bellman Ford,Floyd Warshall,Path Vector,Dijkstra (Link State),D
14,UDP is,Connectionless,Reliable,Slow,Connection-oriented,A
15,Which network topology is most robust?,Bus,Star,Mesh,Ring,C
16,Flow control mechanism 'Stop and Wait' is,Most efficient,Used in GigE,Simplest but inefficient,Complex,C
17,RSA is an example of,Block Cipher,Symmetric Key,Hash Function,Asymmetric Key Cryptography,D
18,RIP uses which algorithm?,Link State,Distance Vector,Path Vector,Dijkstra,B
19,Which protocol is used for email sending?,POP3,HTTP,IMAP,SMTP,D
20,Which layer provides encryption/compression?,Application,Transport,Presentation,Session,C
21,Hamming code is used for?,Framing,Error Correction,Routing,Error Detection only,B
22,Which cable supports highest bandwidth?,Twisted Pair,UTP,Fiber Optic,Coaxial,C
23,Flow control mechanism 'Stop and Wait' is,Used in GigE,Complex,Most efficient,Simplest but inefficient,D
24,TCP/IP model has how many layers?,5,4,7,3,B
25,Ping command uses which protocol?,UDP,ARP,ICMP,TCP,C
26,TCP is?,Stateless,Unreliable,Connection-oriented,Connectionless,C
27,HTTPS uses which port?,21,443,80,22,B
28,TCP/IP model has how many layers?,3,4,5,7,B
29,Router operates at which layer?,Network Layer,Transport,Session,Data Link,A
30,Router operates at which layer?,Session,Transport,Data Link,Network Layer,D
31,Multiplexing used in fiber optics is,FDM,CDM,TDM,WDM,D
32,CRC is used for,Flow Control,Encryption,Error Correction,Error Detection,D
33,Which protocol is used for email sending?,SMTP,POP3,IMAP,HTTP,A
34,OSPF uses which algorithm?,Floyd Warshall,Bellman Ford,Dijkstra (Link State),Path Vector,C
35,URL stands for?,Universal Resource Locator,Universal Resource Link,Uniform Resource Locator,Uniform Resource Link,C
36,Which layer provides encryption/compression?,Presentation,Session,Transport,Application,A
37,Flow control mechanism 'Stop and Wait' is?,Simplest but inefficient,Complex,Used in GigE,Most efficient,A
38,Which protocol is used for email retrieval?,DNS,POP3 / IMAP,SMTP,FTP,B
39,HTTPS uses which port?,21,80,22,443,D
40,IPv6 address length is,256 bits,32 bits,128 bits,64 bits,C
41,Repeater operates at which layer?,Transport,Network,Data Link,Physical Layer,D
42,RIP uses which algorithm?,Path Vector,Dijkstra,Distance Vector,Link State,C
43,CRC is used for,Error Detection,Error Correction,Flow Control,Encryption,A
44,Hamming code is used for,Error Detection only,Framing,Error Correction,Routing,C
